Nr;Regular;Triangulation;GKZ;Neighbors;regular Neighbors;non-regular Neighbors;F-Vector
688;0;{0 4 5 7 12}{0 4 6 7 14}{0 2 6 7 14}{0 8 9 12 14}{0 8 9 10 14}{0 9 10 14 15}{0 9 12 14 15}{5 9 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 1 9 12 15}{0 1 5 12 15}{0 5 7 12 15}{1 5 9 12 15}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 7 12 14}{0 7 12 14 15}{0 2 3 10 14}{0 3 10 14 15}{0 3 7 14 15}{0 2 3 7 14};20 8 3 8 3 7 2 9 2 9 8 2 10 1 12 16;14;3;11;16 65 110 84 24
690;0;{0 4 5 7 12}{0 8 9 12 14}{0 8 9 10 14}{0 9 10 14 15}{0 9 12 14 15}{5 9 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{2 4 6 7 14}{0 2 4 7 14}{0 1 9 12 15}{0 1 5 12 15}{0 5 7 12 15}{1 5 9 12 15}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 7 12 14}{0 7 12 14 15}{0 2 3 10 14}{0 3 10 14 15}{0 3 7 14 15}{0 2 3 7 14};19 8 4 8 4 7 1 9 2 9 8 2 10 1 12 16;12;3;9;16 65 110 84 24
925;0;{0 1 5 13 15}{0 1 9 13 15}{0 4 5 7 12}{0 9 12 13 15}{0 4 6 7 14}{0 2 6 7 14}{0 5 12 13 15}{0 8 9 12 14}{0 8 9 10 14}{0 9 10 14 15}{0 9 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{0 5 7 12 15}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 7 12 14}{0 7 12 14 15}{0 2 3 10 14}{0 3 10 14 15}{0 3 7 14 15}{0 2 3 7 14};22 7 3 8 3 6 2 9 2 8 8 2 8 4 12 16;14;3;11;16 65 110 84 24
926;0;{0 4 5 7 12}{0 4 6 7 14}{0 2 6 7 14}{0 8 9 12 14}{0 8 9 10 14}{0 9 10 14 15}{0 9 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 5 7 12 15}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 7 12 14}{0 7 12 14 15}{0 2 3 10 14}{0 3 10 14 15}{0 3 7 14 15}{0 2 3 7 14};20 9 3 8 3 6 2 9 2 8 8 2 10 2 12 16;14;3;11;16 65 110 84 24
929;0;{0 1 5 13 15}{0 1 9 13 15}{0 4 5 7 12}{0 9 12 13 15}{0 5 12 13 15}{0 8 9 12 14}{0 8 9 10 14}{0 9 10 14 15}{0 9 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{2 4 6 7 14}{0 2 4 7 14}{0 5 7 12 15}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 7 12 14}{0 7 12 14 15}{0 2 3 10 14}{0 3 10 14 15}{0 3 7 14 15}{0 2 3 7 14};21 7 4 8 4 6 1 9 2 8 8 2 8 4 12 16;12;3;9;16 65 110 84 24
930;0;{0 4 5 7 12}{0 8 9 12 14}{0 8 9 10 14}{0 9 10 14 15}{0 9 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{2 4 6 7 14}{0 2 4 7 14}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 5 7 12 15}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 4 7 12 14}{0 7 12 14 15}{0 2 3 10 14}{0 3 10 14 15}{0 3 7 14 15}{0 2 3 7 14};19 9 4 8 4 6 1 9 2 8 8 2 10 2 12 16;12;3;9;16 65 110 84 24
3110;0;{0 2 3 11 15}{0 1 3 11 15}{0 2 3 7 15}{0 2 6 7 15}{0 4 6 7 15}{0 4 5 7 15}{0 2 10 11 15}{0 1 9 11 15}{0 9 10 11 15}{0 4 5 12 15}{0 6 10 14 15}{0 2 6 10 15}{0 8 9 12 14}{0 8 9 10 14}{0 9 10 14 15}{0 9 12 14 15}{0 4 6 12 15}{0 6 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15};22 7 5 5 4 6 6 5 2 8 6 5 9 2 6 22;12;1;11;16 65 110 84 24
3154;0;{0 4 12 14 15}{0 4 12 13 15}{0 2 6 14 15}{0 4 6 14 15}{0 1 5 13 15}{0 4 5 13 15}{0 2 3 7 15}{0 2 6 7 15}{0 1 3 7 15}{0 1 5 7 15}{0 2 10 14 15}{0 1 9 13 15}{0 9 12 13 15}{0 5 6 7 15}{0 4 5 6 15}{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15};24 5 5 6 5 5 5 5 2 6 6 6 8 5 5 22;11;1;10;16 65 110 84 24
3155;0;{0 1 3 11 15}{0 4 12 13 15}{0 2 6 14 15}{0 1 5 13 15}{0 4 5 13 15}{0 2 3 7 15}{0 2 6 7 15}{0 4 6 7 15}{0 4 5 7 15}{0 2 10 14 15}{0 1 9 11 15}{0 1 9 13 15}{0 9 10 11 15}{0 9 12 13 15}{0 3 10 11 15}{0 2 3 10 15}{0 8 9 12 14}{0 8 9 10 14}{0 9 10 14 15}{0 9 12 14 15}{0 4 6 12 15}{0 6 12 14 15}{0 1 3 5 15}{0 3 5 7 15};24 5 5 6 5 5 5 5 2 8 6 4 6 5 7 22;12;3;9;16 65 110 84 24
3156;0;{0 4 12 13 15}{0 2 6 14 15}{0 1 5 13 15}{0 4 5 13 15}{0 2 3 7 15}{0 2 6 7 15}{0 4 6 7 15}{0 4 5 7 15}{0 2 10 14 15}{0 1 9 13 15}{0 9 12 13 15}{0 2 3 10 15}{0 8 9 12 14}{0 8 9 10 14}{0 9 10 14 15}{0 9 12 14 15}{0 4 6 12 15}{0 6 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15};22 7 5 6 5 5 5 5 2 8 8 2 6 5 7 22;11;2;9;16 65 110 84 24
